stress_level,burnout_score,depression_score,anxiety_score,mental_health_index,sleep_hours,physical_activity,study_hours_per_day,academic_performance,exam_pressure,financial_stress,family_expectation,social_support,gender,risk_level,age,academic_year,screen_time,internet_usage
3.341312190329433,0.6159606252242448,0.7191362056349101,0.0997034044199405,8.41782324085177,5.990968986997754,1.7947053752397115,3.189877796929935,70.50292045970129,4.638069071544975,4.104480309217753,6.048954029651871,4.999101760390444,Male,Low,19,1,5.77539200295764,5.526425894570846
5.34745099350582,2.618701268105005,0.0244508611882745,4.418132944132324,6.528244461001492,6.212257701073258,2.1707581559664577,7.88145052762032,73.24709844251646,6.760115724585405,1.829564042269204,7.372225520319894,8.157402775373214,Female,Low,21,1,7.192148444333725,5.988541906696013
3.5664556794340028,0.0,0.0,2.479518293677711,7.829562240123085,7.101864680899936,0.8197396647570301,3.236521260837227,69.25924396969366,5.691439949833244,6.945418981388342,5.545513948511768,7.306309377020757,Female,Low,17,4,2.513446146764762,3.464870146001953
5.963178134518943,4.608671553629699,1.168678855763987,4.451210637001094,5.9287618983628985,3.145930253497567,2.5387378703648147,5.593783413637025,68.37510437516912,5.927521140450316,7.278448098633456,2.5765773632107773,5.3942882344175045,Male,Medium,17,3,3.0400543581294857,3.142997679316705
3.072377264357605,0.0578240650282701,0.5494555771323284,1.4244427455639546,8.178879597448073,6.243597653307057,2.85920993985634,2.5943122271235275,67.05774276615145,4.0308601219159,6.473021324442168,4.199194945957023,6.272301763455664,Male,Low,25,4,7.721106403214364,7.799290872662505
6.256976270027364,3.7338319063422167,1.871557398323347,4.641052408856936,5.543426549834969,3.646003103442083,2.3485009357129414,0.5650592942989592,64.99589647537017,4.864400807786261,6.778194035642537,8.762636687519477,6.10882182051183,Male,Medium,18,1,7.689266575928348,7.6061084681179
5.746702888366619,1.8740797571076493,2.7753292221179118,5.253143768318287,5.292776947522492,8.887970039218407,4.613275554841435,7.432728553984987,70.20550864115779,8.067873204991285,8.372653382149513,7.607320540379997,5.125023713703849,Other,Low,26,3,4.882221245047807,3.3910982706603523
0.8578750271470408,0.0,0.3357187420507566,0.4006497879962493,9.435939430127082,8.90518219141952,1.4667868110113478,5.273388264999091,77.14007569349971,5.8582090519803245,3.3867780448998497,4.907440394666153,3.2166790366178715,Female,Low,28,2,4.157099575502604,4.274123361582999
4.033816849278988,1.174204806818374,0.0,2.560062736088806,7.618454439461763,6.153967020894469,3.6004587908441485,8.04942918989977,70.8627419239844,8.748923322310239,2.419594079385459,7.60828229654218,8.082812292588684,Female,Low,20,1,4.391876106602897,5.801048358532359
3.519604012576771,1.0761447469300995,1.027579492777047,1.899235506159569,7.714113895288307,5.481516532258945,2.9986347971373446,5.863350377419994,79.84974078858882,5.504989826345546,7.002924783489204,4.9556080875569855,4.8378505814754975,Male,Low,18,4,5.00315106385822,4.727504932518792
